id,first_name,last_name,dob,height,weight,pos,draft_position,draft_year,country
203518,Alex,Abrines,1993-08-01,78.0,190.0,G-F,32.0,2013,Spain
203112,Quincy,Acy,1990-10-06,79.0,240.0,F,37.0,2012,USA
203500,Steven,Adams,1993-07-20,84.0,255.0,C,12.0,2013,New Zealand
201167,Arron,Afflalo,1985-10-15,77.0,210.0,G,27.0,2007,USA
201582,Alexis,Ajinca,1988-05-06,86.0,248.0,C,20.0,2008,France
202332,Cole,Aldrich,1988-10-31,83.0,250.0,C,11.0,2010,USA
200746,LaMarcus,Aldridge,1985-07-19,83.0,260.0,F,2.0,2006,USA
202730,Lavoy,Allen,1989-02-04,81.0,260.0,F-C,50.0,2011,USA
2754,Tony,Allen,1982-01-11,76.0,213.0,G-F,25.0,2004,USA
202329,Al-Farouq,Aminu,1990-09-21,81.0,220.0,F,8.0,2010,USA
101187,Alan,Anderson,1982-10-16,78.0,220.0,F-G,UNDRAFTED,,USA
1626147,Justin,Anderson,1993-11-19,78.0,228.0,G-F,21,2015,USA
203937,Kyle,Anderson,1993-09-20,81.0,230.0,G-F,30,2014,USA
201583,Ryan,Anderson,1988-05-06,82.0,240.0,F,21,2008,USA
203507,Giannis,Antetokounmpo,1994-12-06,83.0,222.0,F-G,15,2013,Greece
2546,Carmelo,Anthony,1984-05-29,80.0,240.0,F,3,2003,USA
201202,Joel,Anthony,1982-08-09,81.0,245.0,C,UNDRAFTED,,Canada
2772,Trevor,Ariza,1985-06-30,80.0,215.0,F,43,2004,USA
201589,Darrell,Arthur,1988-03-25,81.0,235.0,F,27,2008,USA
201600,Omer,Asik,1986-07-04,84.0,255.0,C,36,2008,Turkey
201571,D.J.,Augustin,1987-11-10,72.0,183.0,G,9,2008,USA
202337,Luke,Babbitt,1989-06-20,81.0,225.0,F,16,2010,USA
1627758,Ron,Baker,1993-03-30,76.0,220.0,G,UNDRAFTED,,USA
1627735,Wade,Baldwin IV,1996-03-29,76.0,202.0,G,17,2016,USA
2571,Leandro,Barbosa,1982-11-28,75.0,194.0,G,28,2003,Brazil
200826,J.J.,Barea,1984-06-26,72.0,185.0,G,UNDRAFTED,,Puerto Rico
203084,Harrison,Barnes,1992-05-30,80.0,225.0,F,7,2012,USA
2440,Matt,Barnes,1980-03-09,79.0,226.0,F,45,2002,USA
203115,Will,Barton,1991-01-06,78.0,175.0,G-F,40,2012,USA
101138,Brandon,Bass,1985-04-30,80.0,250.0,F,33,2005,USA
201587,Nicolas,Batum,1988-12-14,80.0,200.0,G,25,2008,France
201573,Jerryd,Bayless,1988-08-20,75.0,200.0,G,11,2008,USA
203382,Aron,Baynes,1986-12-09,82.0,260.0,C-F,UNDRAFTED,,Australia
203145,Kent,Bazemore,1989-07-01,77.0,201.0,F-G,UNDRAFTED,,USA
203078,Bradley,Beal,1993-06-28,77.0,207.0,G,3,2012,USA
1627736,Malik,Beasley,1996-11-26,77.0,196.0,G,19,2016,USA
201563,Michael,Beasley,1989-01-09,82.0,235.0,F,2,2008,USA
201158,Marco,Belinelli,1986-03-25,77.0,210.0,G-F,18,2007,Italy
1627761,DeAndre',Bembry,1994-07-04,78.0,210.0,F-G,21,2016,USA
1627733,Dragan,Bender,1997-11-17,85.0,225.0,F,4,2016,Bosnia
202722,Davis,Bertans,1992-11-12,82.0,210.0,F,42,2011,Latvia
201976,Patrick,Beverley,1988-07-12,73.0,185.0,G,42,2009,USA
202687,Bismack,Biyombo,1992-08-28,81.0,255.0,C-F,7,2011,Democratic Republic of the Congo
202357,Nemanja,Bjelica,1988-05-09,82.0,225.0,F,35,2010,Serbia
204028,Tarik,Black,1991-11-22,81.0,250.0,C-F,UNDRAFTED,,USA
202339,Eric,Bledsoe,1989-12-09,73.0,205.0,G,18,2010,USA
202711,Bojan,Bogdanovic,1989-04-18,80.0,225.0,G,31,2011,Bosnia
1627762,Joel,Bolomboy,1994-01-28,81.0,235.0,F,52,2016,Russia
1626164,Devin,Booker,1996-10-30,78.0,206.0,G,13,2015,USA
202344,Trevor,Booker,1987-11-25,80.0,228.0,F,23,2010,USA
2547,Chris,Bosh,1984-03-24,83.0,235.0,F,4,2003,USA
202340,Avery,Bradley,1990-11-26,74.0,180.0,G,19,2010,USA
201147,Corey,Brewer,1986-03-05,81.0,186.0,F,7,2007,USA
1627763,Malcolm,Brogdon,1992-12-11,77.0,215.0,G,36,2016,USA
201166,Aaron,Brooks,1985-01-14,72.0,161.0,G,26,2007,USA
201628,Bobby,Brown,1984-09-24,74.0,175.0,G,UNDRAFTED,,USA
1627759,Jaylen,Brown,1996-10-24,79.0,225.0,F,3,2016,USA
1627852,Nicolas,Brussino,1993-03-02,80.0,215.0,F,UNDRAFTED,,Argentina
203493,Reggie,Bullock,1991-03-16,79.0,205.0,F,25,2013,USA
203504,Trey,Burke,1992-11-12,73.0,191.0,G,9,2013,USA
202692,Alec,Burks,1991-07-20,78.0,214.0,G,12,2011,USA
202710,Jimmy,Butler,1989-09-14,79.0,231.0,F,30,2011,USA
203998,Bruno,Caboclo,1995-09-21,81.0,205.0,F,20,2014,Brazil
101181,Jose,Calderon,1981-09-28,75.0,200.0,G,UNDRAFTED,,Spain
203484,Kentavious,Caldwell-Pope,1993-02-18,77.0,205.0,G,8,2013,USA
203477,Isaiah,Canaan,1991-05-21,72.0,201.0,G,34,2013,USA
203991,Clint,Capela,1994-05-18,82.0,240.0,C,25,2014,Switzerland
201960,DeMarre,Carroll,1986-07-27,80.0,212.0,F,27,2009,USA
1713,Vince,Carter,1977-01-26,78.0,220.0,G-F,5,1998,USA
203487,Michael,Carter-Williams,1991-10-10,78.0,190.0,G,11,2013,USA
201956,Omri,Casspi,1988-06-22,81.0,225.0,F,23,2009,Israel
1626161,Willie,Cauley-Stein,1993-08-18,84.0,240.0,C,6,2015,USA
2199,Tyson,Chandler,1982-10-02,85.0,240.0,C,2,2001,USA
201163,Wilson,Chandler,1987-05-10,80.0,225.0,F,23,2007,USA
1627737,Marquese,Chriss,1997-07-02,82.0,233.0,F,8,2016,USA
1626176,Rakeem,Christmas,1991-12-01,81.0,250.0,F,36,2015,USA
203902,Semaj,Christon,1992-11-01,75.0,190.0,G,55,2014,USA
203546,Ian,Clark,1991-03-07,75.0,175.0,G,UNDRAFTED,,USA
203903,Jordan,Clarkson,1992-06-07,77.0,194.0,G,46,2014,USA
202708,Norris,Cole,1988-10-13,74.0,175.0,G,28,2011,USA
201954,Darren,Collison,1987-08-23,72.0,175.0,G,21,2009,USA
2555,Nick,Collison,1980-10-26,82.0,255.0,F,12,2003,USA
201144,Mike,Conley,1987-10-11,73.0,175.0,G,4,2007,USA
1626192,Pat,Connaughton,1993-01-06,77.0,210.0,G-F,41,2015,USA
1626188,Quinn,Cook,1993-03-23,74.0,179.0,G,UNDRAFTED,,USA
202326,DeMarcus,Cousins,1990-08-13,83.0,270.0,F-C,5,2010,USA
203496,Robert,Covington,1990-12-14,81.0,215.0,F,UNDRAFTED,,USA
203459,Allen,Crabbe,1992-04-09,78.0,215.0,G,31,2013,USA
2037,Jamal,Crawford,1980-03-20,77.0,195.0,G,8,2000,USA
202348,Jordan,Crawford,1988-10-23,77.0,195.0,G,27,2010,USA
203109,Jae,Crowder,1990-07-06,78.0,235.0,F,34,2012,USA
201967,Dante,Cunningham,1987-04-22,80.0,230.0,F,33,2009,USA
203552,Seth,Curry,1990-08-23,74.0,185.0,G,UNDRAFTED,,USA
201939,Stephen,Curry,1988-03-14,75.0,190.0,G,7,2009,USA
203584,Troy,Daniels,1991-07-15,76.0,205.0,G,UNDRAFTED,,USA
203076,Anthony,Davis,1993-03-11,83.0,253.0,F-C,1,2012,USA
1627738,Deyonta,Davis,1996-12-02,82.0,240.0,F,31,2016,USA
202334,Ed,Davis,1989-06-05,82.0,245.0,F,13,2010,USA
203473,Dewayne,Dedmon,1989-08-12,84.0,245.0,C,UNDRAFTED,,USA
1626155,Sam,Dekker,1994-05-08,81.0,230.0,F,18,2015,USA
1627098,Malcolm,Delaney,1989-03-11,75.0,190.0,G,UNDRAFTED,,USA
203521,Matthew,Dellavedova,1990-09-08,76.0,198.0,G,UNDRAFTED,,Australia
2736,Luol,Deng,1985-04-16,81.0,220.0,F,7,2004,Great Britain
201942,DeMar,DeRozan,1989-08-07,79.0,220.0,G,9,2009,USA
1627767,Cheick,Diallo,1996-09-13,81.0,220.0,F,33,2016,Mali
2564,Boris,Diaw,1982-04-16,80.0,250.0,C-F,21,2003,France
