player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
201142,0011600001,1610612744,9,2,1,4,4,4,9,1,3,3,3,1,0,1
203110,0011600001,1610612744,2,0,0,1,2,2,2,0,2,1,2,0,2,4
2585,0011600001,1610612744,2,0,0,0,1,2,1,0,3,0,1,1,1,1
202691,0011600001,1610612744,13,5,4,11,2,2,16,0,0,0,1,0,1,1
201939,0011600001,1610612744,6,2,1,5,3,5,8,0,2,3,1,0,2,1
2561,0011600001,1610612744,5,2,1,2,1,2,6,1,5,0,3,1,1,3
2738,0011600001,1610612744,2,2,1,1,0,0,5,0,3,3,3,0,1,1
2733,0011600001,1610612744,4,2,0,0,1,2,5,0,2,0,1,0,0,2
203546,0011600001,1610612744,5,3,2,2,0,0,8,0,1,3,2,0,0,2
201580,0011600001,1610612744,3,2,0,0,1,2,5,1,3,1,0,3,0,1
1627775,0011600001,1610612744,7,5,1,2,0,0,11,0,0,4,1,0,5,3
203949,0011600001,1610612744,3,1,0,0,0,0,2,2,3,1,1,0,1,1
202841,0011600001,1610612744,8,3,1,3,0,0,7,2,2,0,1,0,0,0
1626172,0011600001,1610612744,2,1,0,0,0,0,2,1,1,0,0,1,0,0
203515,0011600001,1610612744,6,2,0,2,0,1,4,0,1,0,1,0,0,1
1627765,0011600001,1610612744,3,1,0,0,0,0,2,0,0,0,0,0,0,1
2760,0011600001,1610612744,1,0,0,0,0,2,0,1,1,0,0,0,1,1
1627954,0011600001,1610612744,3,0,0,3,0,0,0,0,1,0,0,0,0,0
201960,0011600001,1610612761,9,6,1,3,1,2,14,1,3,0,2,0,4,1
203096,0011600001,1610612761,6,2,0,3,3,4,7,2,8,0,3,1,1,2
202685,0011600001,1610612761,2,1,0,0,1,2,3,2,5,0,3,0,1,4
201942,0011600001,1610612761,11,3,0,0,5,8,11,0,1,3,0,0,2,1
200768,0011600001,1610612761,7,2,1,5,1,2,6,0,2,4,3,1,2,1
202335,0011600001,1610612761,4,2,1,3,1,2,6,2,3,0,1,0,0,2
203082,0011600001,1610612761,9,5,1,2,0,0,11,0,2,2,0,0,2,2
1627783,0011600001,1610612761,7,4,0,1,1,4,9,4,4,1,3,2,1,3
202709,0011600001,1610612761,8,3,1,1,2,2,9,0,1,2,0,0,0,1
1626181,0011600001,1610612761,9,2,1,2,0,0,5,0,4,1,2,1,0,2
1627751,0011600001,1610612761,4,2,0,0,0,0,4,5,0,0,3,0,0,3
1627832,0011600001,1610612761,4,2,0,1,1,2,5,0,2,1,0,0,0,0
203990,0011600001,1610612761,4,3,0,1,1,1,7,0,0,0,0,0,1,3
203512,0011600001,1610612761,1,0,0,0,0,0,0,0,5,0,0,2,0,0
203998,0011600001,1610612761,1,0,0,1,0,0,0,0,2,0,3,0,0,0
204029,0011600001,1610612761,,,,,,,,,,,,,,
1626213,0011600001,1610612761,,,,,,,,,,,,,,
203560,0011600001,1610612761,,,,,,,,,,,,,,
1627784,0011600001,1610612761,,,,,,,,,,,,,,
203084,0011600002,1610612742,8,3,2,4,4,4,12,0,0,2,0,1,0,1
203112,0011600002,1610612742,3,2,1,2,0,0,5,0,4,2,1,0,0,5
203939,0011600002,1610612742,7,3,0,0,3,4,9,3,4,1,2,0,2,2
1626147,0011600002,1610612742,7,4,3,5,3,3,14,0,5,3,0,0,1,1
