id,first_name,last_name,dob,height,weight,pos,draft_position,draft_year,country
203518,Alex,Abrines,1993-08-01,78,190,G,32,2013,Spain
203112,Quincy,Acy,1990-10-06,79,240,F,37,2012,USA
203500,Steven,Adams,1993-07-20,84,255,C,12,2013,New Zealand
1628389,Bam,Adebayo,1997-07-18,82,255,C-F,14,2017,USA
201167,Arron,Afflalo,1985-10-15,77,210,G,27,2007,USA
201582,Alexis,Ajinca,1988-05-06,86,248,C,20,2008,France
202332,Cole,Aldrich,1988-10-31,83,253,C,11,2010,USA
200746,LaMarcus,Aldridge,1985-07-19,83,260,F,2,2006,USA
1628386,Jarrett,Allen,1998-04-21,83,234,C,22,2017,USA
1628443,Kadeem,Allen,1993-01-15,75,200,G,53,2017,USA
202329,Al-Farouq,Aminu,1990-09-21,81,220,F,8,2010,USA
1626147,Justin,Anderson,1993-11-19,78,230,G-F,21,2015,USA
203937,Kyle,Anderson,1993-09-20,81,230,F,30,2014,USA
201583,Ryan,Anderson,1988-05-06,82,240,F,21,2008,USA
1628387,Ike,Anigbogu,1998-10-16,82,262,C,47,2017,USA
203507,Giannis,Antetokounmpo,1994-12-06,83,222,F,15,2013,Greece
2546,Carmelo,Anthony,1984-05-29,80,240,F,3,2003,USA
1628384,OG,Anunoby,1997-07-17,80,235,F,23,2017,United Kingdom
1627853,Ryan,Arcidiacono,1994-03-26,75,195,G,UNDRAFTED,,USA
2772,Trevor,Ariza,1985-06-30,80,215,F-G,43,2004,USA
201589,Darrell,Arthur,1988-03-25,81,235,F,27,2008,USA
1628503,Jamel,Artis,1993-01-12,79,213,G,UNDRAFTED,,USA
201600,Omer,Asik,1986-07-04,84,255,C,36,2008,Turkey
201571,D.J.,Augustin,1987-11-10,72,183,G,9,2008,USA
202337,Luke,Babbitt,1989-06-20,81,225,F,16,2010,USA
1628407,Dwayne,Bacon,1995-08-30,79,221,F,40,2017,USA
1627758,Ron,Baker,1993-03-30,76,220,G,UNDRAFTED,,USA
1627735,Wade,Baldwin IV,1996-03-29,76,202,G,17,2016,USA
1628366,Lonzo,Ball,1997-10-27,78,190,G,2,2017,USA
200826,J.J.,Barea,1984-06-26,72,185,G,UNDRAFTED,,Puerto Rico
203084,Harrison,Barnes,1992-05-30,80,225,F,7,2012,USA
203115,Will,Barton,1991-01-06,78,190,F-G,40,2012,USA
201587,Nicolas,Batum,1988-12-14,80,200,G-F,25,2008,France
201573,Jerryd,Bayless,1988-08-20,75,200,G,11,2008,USA
203382,Aron,Baynes,1986-12-09,82,260,C,UNDRAFTED,,Australia
203145,Kent,Bazemore,1989-07-01,77,201,G,UNDRAFTED,,USA
203078,Bradley,Beal,1993-06-28,77,207,G,3,2012,USA
1627736,Malik,Beasley,1996-11-26,77,196,G,19,2016,USA
201563,Michael,Beasley,1989-01-09,81,235,F,2,2008,USA
201158,Marco,Belinelli,1986-03-25,77,210,G-F,18,2007,Italy
