Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
jansec,1966,1,1sc,5,5,Angels,Y,,Jim Vopicka,SS,,,,,,,,,,,,,4Yr,University of Illinois at Urbana-Champaign (Champaign, IL)
jansec,1966,2,1sc,25,5,Angels,Y,,Paul Alderette,OF,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
jansec,1966,3,1sc,43,4,Angels,N,,Randy Humphrey,LHP,,,,,,,,,,,,,JC,Los Angeles Harbor College (Wilmington, CA)
jansec,1966,4,1sc,58,3,Angels,N,,Kenneth Suzawa,LHP,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
jansec,1966,5,1sc,73,3,Angels,N,,Oscar Brown,OF,-2.1,160,316,4,.244,.622,,,,,,,JC,Compton Community College (Compton, CA)
janreg,1966,1,1rg,7,7,Angels,N,,Ronald Cherry,C,,,,,,,,,,,,,HS,John H. Francis Polytechnic HS (Sun Valley, CA)
janreg,1966,2,1rg,26,7,Angels,Y,,Vern Geishert,RHP,-0.4,11,9,0,.000,.100,11,1,1,4.65,1.26,1,4Yr,University of Wisconsin at Madison (Madison, WI)
janreg,1966,3,1rg,43,6,Angels,N,,Randy Bobb,C,0.0,10,10,0,.100,.282,,,,,,,HS,Verdugo Hills HS (Sunland, CA)
junsec,1966,1,6sc,12,12,Angels,Y,,Andy Messersmith,RHP,40.2,347,729,5,.170,.451,344,130,99,2.86,1.14,14,4Yr,University of California, Berkeley (Berkeley, CA)
junsec,1966,2,6sc,32,12,Angels,Y,,Ken Tatum,RHP,6.4,166,45,4,.244,.839,176,16,12,2.93,1.23,52,4Yr,Mississippi State University (Mississippi State, MS)
junsec,1966,3,6sc,52,12,Angels,Y,,Steve Schneider,SS,,,,,,,,,,,,,4Yr,University of Minnesota (Minneapolis, MN)
jansec,1967,1,1sc,6,6,Angels,Y,,Tom Murphy,RHP,8.5,176,289,1,.145,.361,439,68,101,3.78,1.33,59,4Yr,Ohio University (Athens, OH)
jansec,1967,2,1sc,26,6,Angels,Y,,Ed Bauer,LHP,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
jansec,1967,3,1sc,46,6,Angels,N,,Seaton Daly,C,,,,,,,,,,,,,4Yr,Santa Clara University (Santa Clara, CA)
jansec,1967,4,1sc,66,6,Angels,N,,Bill Bonham,RHP,18.2,307,471,0,.172,.404,300,75,83,4.01,1.44,11,JC,Los Angeles Valley College (Los Angeles, CA)
jansec,1967,5,1sc,86,6,Angels,Y,,Dave LaRoche,LHP,15.1,254,61,0,.246,.619,647,65,58,3.53,1.31,126,,
jansec,1967,6,1sc,104,4,Angels,N,,Norbert Beddow,OF,,,,,,,,,,,,,4Yr,Colorado Mesa University (Grand Junction, CO)
jansec,1967,7,1sc,119,4,Angels,N,,Frank Austin,OF,,,,,,,,,,,,,4Yr,Santa Clara University (Santa Clara, CA)
